review,sentiment
Do not recommend The soundtrack was okay. Awful acting,negative
Great story It was long. Heartwarming and funny,positive
A total disappointment It was something. Terrible directing,negative
Poorly made Characters were there. Boring plot,negative
Boring plot It was long. Very bad pacing,negative
Incredible performance People talked. Amazing visual effects,positive
Beautiful cinematography Characters were there. Brilliant acting,positive
A must watch Characters were there. Outstanding directing,positive
Beautiful cinematography It was long. Outstanding directing,positive
A must watch The soundtrack was okay. Incredible performance,positive
Brilliant acting The soundtrack was okay. A masterpiece,positive
Outstanding directing I saw it yesterday. Kept me on the edge of my seat,positive
Incredible performance It was something. Beautiful cinematography,positive
Waste of time It was long. Poorly made,negative
Waste of time It was something. Awful acting,negative
Terrible directing It is a film. Predictable and dull,negative
Awful acting The ending happened. Terrible movie,negative
A masterpiece The soundtrack was okay. Incredible performance,positive
Heartwarming and funny Characters were there. Amazing visual effects,positive
Terrible directing It was long. Nothing made sense,negative
A wonderful experience It was long. Highly recommended,positive
Heartwarming and funny People talked. Outstanding directing,positive
Incredible performance It was long. Brilliant acting,positive
Awful acting Characters were there. Predictable and dull,negative
Terrible directing People talked. Completely unoriginal,negative
A must watch The soundtrack was okay. Heartwarming and funny,positive
Do not recommend The ending happened. I wanted to leave the theater,negative
The best movie of the year I saw it yesterday. Brilliant acting,positive
Boring plot People talked. Terrible movie,negative
A wonderful experience People talked. I loved this movie,positive
Poorly made People talked. Boring plot,negative
Very bad pacing It is a film. A total disappointment,negative
Amazing visual effects It was long. A masterpiece,positive
Terrible movie It is a film. A total disappointment,negative
Heartwarming and funny The ending happened. The best movie of the year,positive
Nothing made sense People talked. Do not recommend,negative
Boring plot The soundtrack was okay. Very bad pacing,negative
Boring plot It is a film. Do not recommend,negative
I loved this movie It was something. A must watch,positive
Incredible performance It was something. Great story,positive
A wonderful experience The soundtrack was okay. Outstanding directing,positive
Amazing visual effects It is a film. Incredible performance,positive
A wonderful experience It was long. Amazing visual effects,positive
Incredible performance Characters were there. Amazing visual effects,positive
Outstanding directing I saw it yesterday. I loved this movie,positive
Outstanding directing The soundtrack was okay. Brilliant acting,positive
Awful acting It is a film. Terrible movie,negative
Terrible movie Characters were there. Poorly made,negative
Amazing visual effects It was long. Beautiful cinematography,positive
Boring plot It was long. Nothing made sense,negative
I loved this movie It is a film. I loved this movie,positive
Awful acting The soundtrack was okay. Terrible directing,negative
Great story Characters were there. I loved this movie,positive
I wanted to leave the theater Characters were there. I wanted to leave the theater,negative
Outstanding directing It was long. Kept me on the edge of my seat,positive
Terrible movie I saw it yesterday. A total disappointment,negative
Outstanding directing It is a film. I loved this movie,positive
Waste of time Characters were there. Terrible movie,negative
Amazing visual effects The ending happened. Great story,positive
Outstanding directing I saw it yesterday. Beautiful cinematography,positive
I wanted to leave the theater It is a film. Horrible script,negative
Highly recommended It was long. Amazing visual effects,positive
A must watch I saw it yesterday. A masterpiece,positive
Brilliant acting Characters were there. A masterpiece,positive
Poorly made It was something. Nothing made sense,negative
Do not recommend It was long. A total disappointment,negative
Predictable and dull It was long. Awful acting,negative
Boring plot It was something. Terrible movie,negative
Completely unoriginal I saw it yesterday. Awful acting,negative
Heartwarming and funny Characters were there. Highly recommended,positive
Amazing visual effects People talked. The best movie of the year,positive
Do not recommend The ending happened. Poorly made,negative
Incredible performance It was something. Beautiful cinematography,positive
A masterpiece The ending happened. A must watch,positive
A must watch The ending happened. I loved this movie,positive
Incredible performance The soundtrack was okay. I loved this movie,positive
Awful acting It was something. Waste of time,negative
Kept me on the edge of my seat People talked. Outstanding directing,positive
Incredible performance The ending happened. Great story,positive
Kept me on the edge of my seat It was long. Absolutely fantastic,positive
Horrible script It is a film. Boring plot,negative
Predictable and dull It is a film. Awful acting,negative
Kept me on the edge of my seat The ending happened. Kept me on the edge of my seat,positive
Amazing visual effects People talked. A must watch,positive
Awful acting It was something. A total disappointment,negative
Awful acting People talked. Nothing made sense,negative
Do not recommend The ending happened. Waste of time,negative
Predictable and dull The soundtrack was okay. Boring plot,negative
Brilliant acting I saw it yesterday. The best movie of the year,positive
I loved this movie The ending happened. Brilliant acting,positive
Terrible movie The soundtrack was okay. Terrible directing,negative
Boring plot It is a film. I wanted to leave the theater,negative
A masterpiece The ending happened. Highly recommended,positive
Horrible script It was something. Awful acting,negative
Very bad pacing People talked. Waste of time,negative
A must watch It was long. A masterpiece,positive
I wanted to leave the theater Characters were there. Awful acting,negative
Highly recommended It was long. A wonderful experience,positive
A must watch It was something. A wonderful experience,positive
Horrible script I saw it yesterday. A total disappointment,negative
Terrible movie The ending happened. Terrible directing,negative
Terrible movie The soundtrack was okay. Waste of time,negative
Waste of time It was something. Predictable and dull,negative
Highly recommended Characters were there. Incredible performance,positive
Great story The ending happened. Absolutely fantastic,positive
Beautiful cinematography Characters were there. Outstanding directing,positive
I wanted to leave the theater Characters were there. Do not recommend,negative
Do not recommend It was something. Completely unoriginal,negative
Very bad pacing The soundtrack was okay. Horrible script,negative
Outstanding directing The ending happened. Absolutely fantastic,positive
Great story The ending happened. Great story,positive
Incredible performance The soundtrack was okay. Beautiful cinematography,positive
I wanted to leave the theater It is a film. Very bad pacing,negative
Kept me on the edge of my seat It was something. A masterpiece,positive
A total disappointment It is a film. Horrible script,negative
I loved this movie It was something. Beautiful cinematography,positive
Terrible movie It was something. Predictable and dull,negative
I wanted to leave the theater It was long. Horrible script,negative
I loved this movie It was long. Kept me on the edge of my seat,positive
Horrible script It is a film. Predictable and dull,negative
Worst movie ever I saw it yesterday. Awful acting,negative
Outstanding directing I saw it yesterday. Brilliant acting,positive
Beautiful cinematography The ending happened. Absolutely fantastic,positive
Terrible movie It was something. Very bad pacing,negative
Heartwarming and funny The soundtrack was okay. Beautiful cinematography,positive
The best movie of the year The soundtrack was okay. Brilliant acting,positive
Beautiful cinematography The soundtrack was okay. Brilliant acting,positive
A must watch It is a film. Heartwarming and funny,positive
I loved this movie I saw it yesterday. Kept me on the edge of my seat,positive
Terrible directing The soundtrack was okay. A total disappointment,negative
Completely unoriginal It is a film. Worst movie ever,negative
A wonderful experience People talked. Brilliant acting,positive
Amazing visual effects The ending happened. Heartwarming and funny,positive
The best movie of the year The soundtrack was okay. Kept me on the edge of my seat,positive
Outstanding directing It was something. Great story,positive
Terrible directing The soundtrack was okay. Do not recommend,negative
Awful acting It was long. Very bad pacing,negative
Great story I saw it yesterday. The best movie of the year,positive
Very bad pacing It was long. Waste of time,negative
Predictable and dull The soundtrack was okay. Poorly made,negative
A total disappointment Characters were there. Completely unoriginal,negative
Awful acting The ending happened. Boring plot,negative
Outstanding directing It was long. Absolutely fantastic,positive
Beautiful cinematography It is a film. Kept me on the edge of my seat,positive
Very bad pacing It was long. A total disappointment,negative
Outstanding directing The soundtrack was okay. Brilliant acting,positive
Incredible performance The soundtrack was okay. Great story,positive
Predictable and dull I saw it yesterday. Very bad pacing,negative
Amazing visual effects It was something. A wonderful experience,positive
Heartwarming and funny The soundtrack was okay. Outstanding directing,positive
Highly recommended People talked. Great story,positive
Highly recommended It is a film. Beautiful cinematography,positive
Awful acting People talked. Terrible directing,negative
Terrible directing I saw it yesterday. Completely unoriginal,negative
Predictable and dull The ending happened. Very bad pacing,negative
A total disappointment I saw it yesterday. Do not recommend,negative
The best movie of the year It is a film. Great story,positive
Terrible movie It was long. Terrible movie,negative
Outstanding directing Characters were there. Beautiful cinematography,positive
Awful acting It is a film. Predictable and dull,negative
A total disappointment I saw it yesterday. Boring plot,negative
Kept me on the edge of my seat People talked. Absolutely fantastic,positive
Horrible script The soundtrack was okay. Poorly made,negative
A total disappointment Characters were there. Waste of time,negative
Kept me on the edge of my seat It was something. Kept me on the edge of my seat,positive
A total disappointment The ending happened. I wanted to leave the theater,negative
A total disappointment People talked. Awful acting,negative
Do not recommend It is a film. Terrible movie,negative
Predictable and dull People talked. Completely unoriginal,negative
I wanted to leave the theater People talked. Poorly made,negative
A wonderful experience I saw it yesterday. A must watch,positive
A masterpiece The ending happened. Great story,positive
Awful acting Characters were there. Awful acting,negative
A wonderful experience The soundtrack was okay. A wonderful experience,positive
Horrible script Characters were there. Do not recommend,negative
A total disappointment I saw it yesterday. A total disappointment,negative
I loved this movie I saw it yesterday. I loved this movie,positive
I loved this movie The ending happened. Beautiful cinematography,positive
Heartwarming and funny The soundtrack was okay. Amazing visual effects,positive
I loved this movie People talked. Highly recommended,positive
A must watch The ending happened. Heartwarming and funny,positive
The best movie of the year The soundtrack was okay. A must watch,positive
I loved this movie It was something. Heartwarming and funny,positive
A masterpiece People talked. Brilliant acting,positive
Predictable and dull It is a film. Awful acting,negative
A masterpiece The soundtrack was okay. Highly recommended,positive
The best movie of the year Characters were there. Brilliant acting,positive
Waste of time Characters were there. Horrible script,negative
Very bad pacing Characters were there. Poorly made,negative
Outstanding directing It is a film. Highly recommended,positive
A wonderful experience The ending happened. Great story,positive
A total disappointment It was long. Terrible directing,negative
Do not recommend The ending happened. Do not recommend,negative
Terrible directing People talked. Waste of time,negative
Worst movie ever I saw it yesterday. Completely unoriginal,negative
Poorly made It was something. Predictable and dull,negative
I wanted to leave the theater People talked. Boring plot,negative
A must watch It was something. A wonderful experience,positive
Nothing made sense The soundtrack was okay. Very bad pacing,negative
Incredible performance People talked. A must watch,positive
Heartwarming and funny Characters were there. Amazing visual effects,positive
Amazing visual effects The ending happened. Kept me on the edge of my seat,positive
Kept me on the edge of my seat It is a film. Outstanding directing,positive
Awful acting Characters were there. Do not recommend,negative
Awful acting The ending happened. Predictable and dull,negative
Horrible script It is a film. Waste of time,negative
Terrible movie The soundtrack was okay. Do not recommend,negative
Heartwarming and funny It was something. The best movie of the year,positive
A total disappointment It is a film. Predictable and dull,negative
Horrible script It was long. Boring plot,negative
I wanted to leave the theater Characters were there. I wanted to leave the theater,negative
Boring plot It is a film. Nothing made sense,negative
A wonderful experience The ending happened. Brilliant acting,positive
Do not recommend Characters were there. Completely unoriginal,negative
The best movie of the year It was long. A must watch,positive
Do not recommend I saw it yesterday. Terrible directing,negative
I wanted to leave the theater It is a film. I wanted to leave the theater,negative
A must watch It was long. A must watch,positive
A total disappointment It is a film. Awful acting,negative
Waste of time The soundtrack was okay. Very bad pacing,negative
Brilliant acting It was something. I loved this movie,positive
I loved this movie People talked. Amazing visual effects,positive
Terrible directing It was long. Nothing made sense,negative
I loved this movie The soundtrack was okay. Highly recommended,positive
Heartwarming and funny I saw it yesterday. A masterpiece,positive
Horrible script The ending happened. I wanted to leave the theater,negative
Boring plot The soundtrack was okay. Waste of time,negative
Horrible script It is a film. Worst movie ever,negative
Do not recommend Characters were there. Waste of time,negative
Terrible directing I saw it yesterday. Very bad pacing,negative
Very bad pacing I saw it yesterday. A total disappointment,negative
Great story Characters were there. Kept me on the edge of my seat,positive
Nothing made sense The soundtrack was okay. Worst movie ever,negative
Terrible directing The ending happened. Horrible script,negative
Absolutely fantastic It was long. Outstanding directing,positive
Beautiful cinematography The ending happened. Brilliant acting,positive
I wanted to leave the theater People talked. Completely unoriginal,negative
A must watch People talked. Kept me on the edge of my seat,positive
A must watch I saw it yesterday. Great story,positive
Boring plot Characters were there. Terrible directing,negative
Brilliant acting People talked. Beautiful cinematography,positive
Boring plot The ending happened. Completely unoriginal,negative
The best movie of the year I saw it yesterday. I loved this movie,positive
Awful acting The ending happened. A total disappointment,negative
Terrible movie I saw it yesterday. Terrible movie,negative
The best movie of the year It was long. Kept me on the edge of my seat,positive
Outstanding directing The ending happened. A masterpiece,positive
Absolutely fantastic The ending happened. The best movie of the year,positive
A masterpiece It is a film. Heartwarming and funny,positive
Heartwarming and funny Characters were there. Heartwarming and funny,positive
Very bad pacing It is a film. A total disappointment,negative
Heartwarming and funny It is a film. A must watch,positive
Completely unoriginal It was long. I wanted to leave the theater,negative
A total disappointment It was long. Waste of time,negative
Boring plot The ending happened. Awful acting,negative
Predictable and dull The soundtrack was okay. I wanted to leave the theater,negative
Very bad pacing The soundtrack was okay. Poorly made,negative
I loved this movie People talked. Great story,positive
Great story It was long. Beautiful cinematography,positive
Outstanding directing It was long. Incredible performance,positive
Worst movie ever The soundtrack was okay. Predictable and dull,negative
A wonderful experience It was something. Amazing visual effects,positive
Brilliant acting It was long. Amazing visual effects,positive
A wonderful experience People talked. Heartwarming and funny,positive
Horrible script The soundtrack was okay. Boring plot,negative
A total disappointment Characters were there. Worst movie ever,negative
Beautiful cinematography It was long. Outstanding directing,positive
Horrible script I saw it yesterday. Boring plot,negative
Completely unoriginal The ending happened. Terrible directing,negative
Waste of time The ending happened. Completely unoriginal,negative
Awful acting It is a film. Nothing made sense,negative
Great story It is a film. Absolutely fantastic,positive
Great story It was something. A wonderful experience,positive
Completely unoriginal Characters were there. Nothing made sense,negative
Worst movie ever It is a film. Nothing made sense,negative
Do not recommend I saw it yesterday. Worst movie ever,negative
Brilliant acting I saw it yesterday. Brilliant acting,positive
Completely unoriginal People talked. Completely unoriginal,negative
Great story It is a film. Outstanding directing,positive
Outstanding directing People talked. Beautiful cinematography,positive
I wanted to leave the theater The soundtrack was okay. Terrible directing,negative
Great story It is a film. A masterpiece,positive
The best movie of the year I saw it yesterday. Great story,positive
Absolutely fantastic The soundtrack was okay. Kept me on the edge of my seat,positive
Horrible script It was something. Horrible script,negative
Terrible movie It is a film. Do not recommend,negative
Outstanding directing The ending happened. Highly recommended,positive
A masterpiece It was long. Incredible performance,positive
Completely unoriginal It was something. Predictable and dull,negative
Beautiful cinematography I saw it yesterday. A must watch,positive
Beautiful cinematography It was long. Brilliant acting,positive
Great story The ending happened. Kept me on the edge of my seat,positive
I wanted to leave the theater Characters were there. Boring plot,negative
Terrible movie The ending happened. Worst movie ever,negative
Predictable and dull It was long. Predictable and dull,negative
A wonderful experience It was long. Incredible performance,positive
Do not recommend The soundtrack was okay. Very bad pacing,negative
Boring plot The soundtrack was okay. Terrible movie,negative
A wonderful experience Characters were there. Highly recommended,positive
Poorly made People talked. Very bad pacing,negative
